Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,Data not presented,Data not presented,Data not presented
District of Columbia,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,95.7,1123,1276014
Utah,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,121.1,15154,12680219
Colorado,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,126.8,32843,19433442
Hawaii,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,127,3301,1537032
Arizona,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,135.1,49049,19478611
North Dakota,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,135.5,6001,3224107
New York,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,137,117728,54053925
New Mexico,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,137.2,10366,3831245
Connecticut,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,138.5,27574,11723174
Montana,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,140.3,9883,4667094
Minnesota,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,140.6,46201,22286199
Massachusetts,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,140.8,54119,24525411
New Jersey,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,142.8,58149,24602674
Idaho,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,143.2,14358,7508563
Alaska,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,143.6,3652,2181756
Maryland,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,144.1,34196,15104803
Wyoming,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,144.3,4862,2419377
California,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,145.4,174740,70445177
Wisconsin,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,147.1,52670,23594783
New Hampshire,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,147.6,13760,6147013
South Dakota,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,147.7,7897,3621555
Florida,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,147.8,170146,57469528
Washington,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,149.2,56183,25571022
Nebraska,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,150.1,16269,7580322
Virginia,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,150.2,57425,26131684
Rhode Island,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,150.6,9674,3832164
Iowa,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,150.8,30200,13435376
North Carolina,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,151.9,75549,32743121
Pennsylvania,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,152.9,120744,48610579
Kansas,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,153.3,24427,10972445
Oregon,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,153.4,37953,15760218
Georgia,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,153.5,60183,27561389
South Carolina,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,153.7,39119,16432974
Vermont,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,153.7,6958,2941415
Illinois,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,154.7,90476,38242348
Texas,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,155,133287,59572131
Michigan,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,158,88245,37288183
Delaware,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,158.4,8487,3023104
Nevada,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,160.4,19740,7361131
Louisiana,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,160.5,30946,13490231
Maine,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,160.5,16521,6315003
Alabama,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,162.1,39458,16240899
Ohio,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,162.6,108982,45765747
Missouri,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,162.6,57030,24261785
Tennessee,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,168,60947,25325593
Indiana,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,168,61599,26384185
Arkansas,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,170.8,27691,10824687
Mississippi,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,174.5,21649,8330056
Oklahoma,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,177.1,34007,12785865
West Virginia,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,181.1,22749,8206174
Kentucky,All Types of Cancer,2018-2022,Male and Female,White Non-Hispanic,Mortality,182,46997,18824533
