Area,Cancer Type,Year,Sex,Race,Type,Age-Adjusted Rate,Death Count,Population
Puerto Rico,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,Data not presented,Data not presented,Data not presented
West Virginia,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,54.6,63,166592
Alabama,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,55.8,327,1160381
Mississippi,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,65.7,186,504216
Kentucky,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,68.3,300,910751
District of Columbia,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,71.2,171,391489
Vermont,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,72,30,68378
Maine,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,73.6,62,128864
Arkansas,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,74,399,1222783
Tennessee,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,77,708,2057322
Rhode Island,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,78,410,904734
Louisiana,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,79.5,727,1271242
Maryland,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,79.8,1439,3330480
North Carolina,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,80.2,1829,5265384
New Hampshire,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,80.7,123,291776
Iowa,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,81.5,343,1040936
South Dakota,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,81.8,52,201348
Nebraska,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,82.7,415,1146722
Georgia,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,82.7,2103,5383214
Virginia,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,83.8,1853,4309410
Montana,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,84.1,109,230034
Ohio,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,84.8,1162,2463770
Missouri,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,85.7,629,1400095
South Carolina,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,87,662,1601089
Idaho,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,89,503,1207772
New Jersey,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,89.5,6474,9658995
Delaware,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,92,236,491042
Nevada,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,92.5,2512,4598898
Massachusetts,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,93.2,2415,4373997
New York,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,93.5,15372,19155243
Oregon,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,94.2,1298,2909801
Alaska,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,94.3,104,273414
Minnesota,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,95.6,654,1627112
Indiana,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,96.8,1213,2543146
Connecticut,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,96.9,1859,3117000
Illinois,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,98.7,6798,11277220
Utah,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,99.5,1063,2392712
Wisconsin,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,99.9,959,2146749
Washington,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,103.6,2348,5167836
Pennsylvania,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,106.1,2994,5240674
Oklahoma,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,106.4,1062,2287518
Florida,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,107.2,31322,28716340
California,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,111.9,60276,77952515
Kansas,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,112.9,994,1838024
North Dakota,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,114.3,54,167418
Texas,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,114.6,44522,58364469
Arizona,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,116.2,8547,11599883
Michigan,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,116.7,1779,2738753
Wyoming,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,127.2,244,302954
Colorado,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,128.6,4892,6370742
New Mexico,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,129.2,6448,5244056
Hawaii,All Types of Cancer,2018-2022,Male and Female,Hispanic,Mortality,187.4,604,786095
